ID,Study,Reference,Grouping,Analyte,t0,tend,t Unit,AUC Avg,AUC AvgUnit,AUC AvgType,AUC Var,AUC VarUnit,AUC VarType,AUC Type,Cmax Avg,Cmax AvgUnit,Cmax AvgType,Cmax Var,Cmax VarUnit,Cmax VarType,Cmax Type,CL Avg,CL AvgUnit,CL AvgType,CL Var,CL VarUnit,CL VarType,CL Type,Comment,Notghi
5082,Treluyer 2002,https://www.ncbi.nlm.nih.gov/pubmed/11959572,mean,Amikacin,0,72,h,,,,,,,,,,,,,,,0.123,L/h/kg,Arith. Mean,52,%,geoSD,CLiv,Table 2,
5083,Treluyer 2002,https://www.ncbi.nlm.nih.gov/pubmed/11959572,ID1,Amikacin,0,72,h,,,,,,,,,,,,,,,0.053,L/h/kg,individual,,,,CLiv,POP-PK Point estimate Scanned from figure 1,
5084,Treluyer 2002,https://www.ncbi.nlm.nih.gov/pubmed/11959572,ID2,Amikacin,0,72,h,,,,,,,,,,,,,,,0.073,L/h/kg,individual,,,,CLiv,POP-PK Point estimate Scanned from figure 1,
5085,Treluyer 2002,https://www.ncbi.nlm.nih.gov/pubmed/11959572,ID3,Amikacin,0,72,h,,,,,,,,,,,,,,,0.095,L/h/kg,individual,,,,CLiv,POP-PK Point estimate Scanned from figure 1,
5086,Treluyer 2002,https://www.ncbi.nlm.nih.gov/pubmed/11959572,ID4,Amikacin,0,72,h,,,,,,,,,,,,,,,0.106,L/h/kg,individual,,,,CLiv,POP-PK Point estimate Scanned from figure 1,
5087,Treluyer 2002,https://www.ncbi.nlm.nih.gov/pubmed/11959572,ID5,Amikacin,0,72,h,,,,,,,,,,,,,,,0.118,L/h/kg,individual,,,,CLiv,POP-PK Point estimate Scanned from figure 1,
5088,Treluyer 2002,https://www.ncbi.nlm.nih.gov/pubmed/11959572,ID6,Amikacin,0,72,h,,,,,,,,,,,,,,,0.12,L/h/kg,individual,,,,CLiv,POP-PK Point estimate Scanned from figure 1,
5089,Treluyer 2002,https://www.ncbi.nlm.nih.gov/pubmed/11959572,ID7,Amikacin,0,72,h,,,,,,,,,,,,,,,0.127,L/h/kg,individual,,,,CLiv,POP-PK Point estimate Scanned from figure 1,
5090,Treluyer 2002,https://www.ncbi.nlm.nih.gov/pubmed/11959572,ID8,Amikacin,0,72,h,,,,,,,,,,,,,,,0.15,L/h/kg,individual,,,,CLiv,POP-PK Point estimate Scanned from figure 1,
5091,Treluyer 2002,https://www.ncbi.nlm.nih.gov/pubmed/11959572,ID9,Amikacin,0,72,h,,,,,,,,,,,,,,,0.181,L/h/kg,individual,,,,CLiv,POP-PK Point estimate Scanned from figure 1,
5092,Treluyer 2002,https://www.ncbi.nlm.nih.gov/pubmed/11959572,ID10,Amikacin,0,72,h,,,,,,,,,,,,,,,0.19,L/h/kg,individual,,,,CLiv,POP-PK Point estimate Scanned from figure 1,
5093,Treluyer 2002,https://www.ncbi.nlm.nih.gov/pubmed/11959572,ID11,Amikacin,0,72,h,,,,,,,,,,,,,,,0.196,L/h/kg,individual,,,,CLiv,POP-PK Point estimate Scanned from figure 1,
5094,Treluyer 2002,https://www.ncbi.nlm.nih.gov/pubmed/11959572,ID12,Amikacin,0,72,h,,,,,,,,,,,,,,,0.177,L/h/kg,individual,,,,CLiv,POP-PK Point estimate Scanned from figure 1,
5095,Vogelstein,https://www.ncbi.nlm.nih.gov/pubmed/874697,mean,Amikacin,0,225,min,,,,,,,,,,,,,,,2.49,mL/min/kg,arith. Mean,0.75,mL/min/kg,arith. SD,CLiv,Table 1,
5096,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID1,Amikacin,0,225,min,,,,,,,,,,,,,,,1.74,mL/min/kg,individual,,,,CLiv,Table 1,
5097,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID2,Amikacin,0,225,min,,,,,,,,,,,,,,,1.44,mL/min/kg,individual,,,,CLiv,Table 1,
5098,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID3,Amikacin,0,225,min,,,,,,,,,,,,,,,2.56,mL/min/kg,individual,,,,CLiv,Table 1,
5099,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID4,Amikacin,0,225,min,,,,,,,,,,,,,,,1.35,mL/min/kg,individual,,,,CLiv,Table 1,
5100,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID5,Amikacin,0,225,min,,,,,,,,,,,,,,,2.64,mL/min/kg,individual,,,,CLiv,Table 1,
5101,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID6,Amikacin,0,225,min,,,,,,,,,,,,,,,2.19,mL/min/kg,individual,,,,CLiv,Table 1,
5102,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID7,Amikacin,0,225,min,,,,,,,,,,,,,,,4.22,mL/min/kg,individual,,,,CLiv,Table 1,
5103,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID8,Amikacin,0,225,min,,,,,,,,,,,,,,,2.63,mL/min/kg,individual,,,,CLiv,Table 1,
5104,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID9,Amikacin,0,225,min,,,,,,,,,,,,,,,4.26,mL/min/kg,individual,,,,CLiv,Table 1,
5105,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID10,Amikacin,0,225,min,,,,,,,,,,,,,,,2.3,mL/min/kg,individual,,,,CLiv,Table 1,
5106,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID11,Amikacin,0,225,min,,,,,,,,,,,,,,,1.91,mL/min/kg,individual,,,,CLiv,Table 1,
5107,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID12,Amikacin,0,225,min,,,,,,,,,,,,,,,2.3,mL/min/kg,individual,,,,CLiv,Table 1,
5108,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID13,Amikacin,0,225,min,,,,,,,,,,,,,,,2.23,mL/min/kg,individual,,,,CLiv,Table 1,
5109,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID14,Amikacin,0,225,min,,,,,,,,,,,,,,,2.58,mL/min/kg,individual,,,,CLiv,Table 1,
5110,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID15,Amikacin,0,225,min,,,,,,,,,,,,,,,2.86,mL/min/kg,individual,,,,CLiv,Table 1,
5111,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID16,Amikacin,0,225,min,,,,,,,,,,,,,,,2.88,mL/min/kg,individual,,,,CLiv,Table 1,
5112,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID17,Amikacin,0,225,min,,,,,,,,,,,,,,,3.31,mL/min/kg,individual,,,,CLiv,Table 1,
5113,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID18,Amikacin,0,225,min,,,,,,,,,,,,,,,1.88,mL/min/kg,individual,,,,CLiv,Table 1,
5114,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID19,Amikacin,0,225,min,,,,,,,,,,,,,,,2.06,mL/min/kg,individual,,,,CLiv,Table 1,
5115,Vogelstein 1977,https://www.ncbi.nlm.nih.gov/pubmed/874697,ID20,Amikacin,0,225,min,,,,,,,,,,,,,,,2.47,mL/min/kg,individual,,,,CLiv,Table 1,
5116,Belfayol 1996,https://www.ncbi.nlm.nih.gov/pubmed/11866842,mean,Amikacin,0,24,h,,,,,,,,,,,,,,,56.3,mL/min,arith. Mean,33.8,mL/min,arith. SD,CLiv,Table 1,
5117,Boekh 1988,https://www.ncbi.nlm.nih.gov/pubmed/3279907,mean 0.5g,vancomycin,0,720,min,,,,,,,,,,,,,,,94.5,mL/min,arith. Mean,15.9,mL/min,arith. SD,CLiv,Table 1,
5118,Boekh 1988,https://www.ncbi.nlm.nih.gov/pubmed/3279907,mean 1g,vancomycin,0,720,min,,,,,,,,,,,,,,,96.5,mL/min,arith. Mean,18.1,mL/min,arith. SD,CLiv,Table 1,
5119,Healy 1987,https://www.ncbi.nlm.nih.gov/pubmed/3579256,mean 0.5g,vancomycin,0,61.00335,h,,,,,,,,,,,,,,,84.8,mL/min,arith. Mean,11.5,mL/min/1.73m2,arith. SD,CLiv,At steady state (Table 1),
5120,Healy 1987,https://www.ncbi.nlm.nih.gov/pubmed/3579256,mean 1g,vancomycin,0,61.28713,h,,,,,,,,,,,,,,,86.1,mL/min,arith. Mean,8.9,mL/min/1.73m2,arith. SD,CLiv,At steady state (Table 2),
5121,Schaad 1980,https://www.ncbi.nlm.nih.gov/pubmed/7350291,ID 1,vancomycin,0,6.5,h,,,,,,,,,,,,,,,3.641618497,mL/min,arith. Mean,,,,CLiv,,
5122,Schaad 1980,https://www.ncbi.nlm.nih.gov/pubmed/7350291,ID 2,vancomycin,0,7,h,,,,,,,,,,,,,,,8.092485549,mL/min,arith. Mean,,,,CLiv,,
5123,Schaad 1980,https://www.ncbi.nlm.nih.gov/pubmed/7350291,ID 3,vancomycin,0,7,h,,,,,,,,,,,,,,,14.04624277,mL/min,arith. Mean,,,,CLiv,,
5124,Schaad 1980,https://www.ncbi.nlm.nih.gov/pubmed/7350291,ID 4,vancomycin,0,7,h,,,,,,,,,,,,,,,61.24277457,mL/min,arith. Mean,,,,CLiv,,
5125,Schaad 1980,https://www.ncbi.nlm.nih.gov/pubmed/7350291,ID 5,vancomycin,0,7,h,,,,,,,,,,,,,,,59.06358382,mL/min,arith. Mean,,,,CLiv,,
5126,Schaad 1980,https://www.ncbi.nlm.nih.gov/pubmed/7350291,ID 6,vancomycin,0,8,h,,,,,,,,,,,,,,,74.3583815,mL/min,arith. Mean,,,,CLiv,,
5371,Bockbrader 2010,https://www.ncbi.nlm.nih.gov/pubmed/20147618,1mg,Pregabalin,0,12,h,0.223,µg*h/mL,geo. mean,13.5,%,CV%,AUC_inf,0.0383,µg/L,Geom.mean,10.1,%,CV%,Cmax,75.6,mL/min,Geo.mean,14.4,%,CV%,CL/F,,
5372,Bockbrader 2010,https://www.ncbi.nlm.nih.gov/pubmed/20147618,2mg,Pregabalin,0,12,h,0.428,µg*h/mL,geo. mean,,,,,0.0848,µg/L,Geom.mean,,,,,77.9,mL/min,Geo.mean,,,,,,
5373,Bockbrader 2010,https://www.ncbi.nlm.nih.gov/pubmed/20147618,5mg,Pregabalin,0,24,h,1.24,µg*h/mL,geo. mean,11.8,%,CV%,AUC_inf,0.156,µg/L,Geom.mean,12.9,%,CV%,Cmax,68.2,mL/min,Geo.mean,11.6,%,CV%,CL/F,,
5374,Bockbrader 2010,https://www.ncbi.nlm.nih.gov/pubmed/20147618,10mg,Pregabalin,0,36,h,2.54,µg*h/mL,geo. mean,13.8,%,CV%,AUC_inf,0.459,µg/L,Geom.mean,14.7,%,CV%,Cmax,66.4,mL/min,Geo.mean,14.5,%,CV%,CL/F,,
5375,Bockbrader 2010,https://www.ncbi.nlm.nih.gov/pubmed/20147618,25mg,Pregabalin,0,36,h,5.83,µg*h/mL,geo. mean,12.7,%,CV%,AUC_inf,0.918,µg/L,Geom.mean,21.5,%,CV%,Cmax,72.2,mL/min,Geo.mean,13.2,%,CV%,CL/F,,
5376,Bockbrader 2010,https://www.ncbi.nlm.nih.gov/pubmed/20147618,50mg,Pregabalin,0,48,h,12.2,µg*h/mL,geo. mean,11.9,%,CV%,AUC_inf,1.61,µg/L,Geom.mean,25.7,%,CV%,Cmax,69,mL/min,Geo.mean,13,%,CV%,CL/F,,
5377,Bockbrader 2010,https://www.ncbi.nlm.nih.gov/pubmed/20147618,75mg,Pregabalin,0,60,h,15.6,µg*h/mL,geo. mean,15.5,%,CV%,AUC_inf,2.18,µg/L,Geom.mean,8.9,%,CV%,Cmax,81.4,mL/min,Geo.mean,15.3,%,CV%,CL/F,,
5378,Bockbrader 2010,https://www.ncbi.nlm.nih.gov/pubmed/20147618,125mg,Pregabalin,0,60,h,24.6,µg*h/mL,geo. mean,19.1,%,CV%,AUC_inf,3.59,µg/L,Geom.mean,8,%,CV%,Cmax,86.8,mL/min,Geo.mean,17.8,%,CV%,CL/F,,
5418,Bockbrader 2010,https://www.ncbi.nlm.nih.gov/pubmed/20147618,200mg,Pregabalin,0,60,h,46,µg*h/mL,geo. mean,17.6,%,CV%,AUC_inf,5.96,µg/L,Geom.mean,11.7,%,CV%,Cmax,74.2,mL/min,Geo.mean,19.4,%,CV%,CL/F,,
5379,Bockbrader 2010,https://www.ncbi.nlm.nih.gov/pubmed/20147618,300mg,Pregabalin,0,60,h,66.3,µg*h/mL,geo. mean,6.8,%,CV%,AUC_inf,9.46,µg/L,Geom.mean,11,%,CV%,Cmax,75.6,mL/min,Geo.mean,7.2,%,CV%,CL/F,,
5380,Chew 2014,https://www.ncbi.nlm.nih.gov/pubmed/25078976,IR tablet,Pregabalin,0,48,h,57.98,µg*h/mL,geo. mean,14,%,CV%,AUC_inf,6.71,µg/L,Geom.mean,22,%,CV%,Cmax,,,,,,,,,
5381,Chew 2014,https://www.ncbi.nlm.nih.gov/pubmed/25078976,CT fasted,Pregabalin,0,48,h,35.48,µg*h/mL,geo. mean,36,%,CV%,AUC_inf,2.6,µg/L,Geom.mean,25,%,CV%,Cmax,,,,,,,,,
5382,Chew 2014,https://www.ncbi.nlm.nih.gov/pubmed/25078976,CT fed ,Pregabalin,0,48,h,50.83,µg*h/mL,geo. mean,21,%,CV%,AUC_inf,3.13,µg/L,Geom.mean,16,%,CV%,Cmax,,,,,,,,,
5383,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,12-16y 15mgkgday,Pregabalin,0,12,h,103,µg*h/mL,geo. mean,,,,AUC_inf,13.8,µg/mL,Geom.mean,,,,Cmax,73.1,mL/min,Geo.mean,,,,CL/F,,
